ljournal,username,published,url,title,next_url,prev_url
https://galkovsky.livejournal.com/,galkovsky,2003-10-10 16:13:00,https://galkovsky.livejournal.com/496.html,ПРОБА ПЕРА,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=496&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=496&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-12 17:49:00,https://galkovsky.livejournal.com/689.html,УТОЧНЕНИЕ ИНТЕРЕСОВ,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=689&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=689&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-12 23:43:00,https://galkovsky.livejournal.com/969.html,ДЕЛИКАТНАЯ ТЕМА,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=969&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=969&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-13 18:52:00,https://galkovsky.livejournal.com/1137.html,4. СХЕМА ЗАПИСЕЙ,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=1137&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=1137&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-13 19:28:00,https://galkovsky.livejournal.com/1424.html,5. ВМЕСТО ЗАТРАВКИ,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=1424&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=1424&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-14 02:52:00,https://galkovsky.livejournal.com/1739.html,6. ЗАТРАВКА,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=1739&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=1739&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-15 05:27:00,https://galkovsky.livejournal.com/1935.html,7. ИТОГИ КОНКУРСА (см. №5),https://www.livejournal.com/go.bml?journal=galkovsky&itemid=1935&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=1935&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-16 02:14:00,https://galkovsky.livejournal.com/2090.html,8. ПОИСК ФОРМЫ,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=2090&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=2090&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-16 23:50:00,https://galkovsky.livejournal.com/2335.html,"9. ОБОЗРЕВАЯ СЕБЯ, ЛЮБИМОГО",https://www.livejournal.com/go.bml?journal=galkovsky&itemid=2335&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=2335&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-17 02:47:00,https://galkovsky.livejournal.com/2677.html,10. О ПУТИНЕ ПО ХОРОШЕМУ,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=2677&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=2677&dir=prev
https://galkovsky.livejournal.com/,galkovsky,2003-10-18 01:18:00,https://galkovsky.livejournal.com/3060.html,11. ВОЛШЕБНАЯ СИЛА ИСКУССТВА,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=3060&dir=next,https://www.livejournal.com/go.bml?journal=galkovsky&itemid=3060&dir=prev
